model_id,ppl_before,ppl_after,delta_ppl,threshold,sign_change_frac,accepted
Psychotherapy-LLM/PsychoCounsel-Llama3-8B,17.9485,22.1359,4.1874,inf,0.009479,True
TsinghuaC3I/Llama-3.1-8B-UltraMedical,22.1359,21.5169,0.6190,inf,0.004218,True
sh2orc/Llama-3.1-Korean-8B-Instruct,21.5169,19.7808,1.7361,inf,0.001373,True
vanta-research/wraith-8b,19.7808,18.7120,1.0688,3.9703,0.001109,True
curiousily/Llama-3-8B-Instruct-Finance-RAG,18.7120,36.9743,18.2623,2.5195,0.030302,False
empirischtech/Llama-3.1-8B-Instruct-MedQA,18.7120,23.6332,4.9212,2.5195,0.005368,False
shashankyadav03/Llama-3-8B-Instruct-Finance-Asset-Strategy,18.7120,18.6816,0.0304,2.5195,0.000799,True
aaditya/Llama3-OpenBioLLM-8B,18.6816,42.7101,24.0285,2.4034,0.036006,False
philschmid/llama-3-1-8b-math-orca-spectrum-10k-ep1,18.6816,19.4564,0.7748,2.4034,0.000707,True
Locutusque/Thespis-Llama-3.1-8B,19.4564,22.8933,3.4369,2.0389,0.005963,False
lamm-mit/Bioinspired-Base-Hermes-3-Llama-3.1-8B,19.4564,19.2614,0.1950,2.0389,0.002899,True
vicgalle/Humanish-Roleplay-Llama-3.1-8B,19.2614,19.2465,0.0150,1.9344,0.002046,True
yangbh217/SimsChat-Llama-3-8B,19.2465,40.5425,21.2961,1.8653,0.030231,False
Weyaxi/Einstein-v6.1-Llama3-8B,19.2465,28.8744,9.6279,1.8653,0.030332,False
rmihaylov/Llama-3-DARE-v1-8B,19.2465,28.8656,9.6192,1.8653,0.030576,False
Locutusque/llama-3-neural-chat-v1-8b,19.2465,27.9780,8.7316,1.8653,0.035675,False
timpal0l/Llama-3-8B-flashback-v1,19.2465,30.0955,10.8490,1.8653,0.036321,False
hiieu/Meta-Llama-3-8B-Instruct-function-calling-json-mode,19.2465,32.3227,13.0762,1.8653,0.030795,False
Team-ACE/ToolACE-8B,19.2465,19.1952,0.0513,1.8653,0.001885,True
mims-harvard/TxAgent-T1-Llama-3.1-8B,19.1952,20.7894,1.5942,1.7544,0.012052,True
Groq/Llama-3-Groq-8B-Tool-Use,20.7894,30.7376,9.9482,2.0090,0.028409,False
NousResearch/Hermes-3-Llama-3.1-8B,20.7894,19.6645,1.1249,2.0090,0.002529,True
Trelis/Meta-Llama-3-8B-Instruct-function-calling,19.6645,30.0487,10.3842,2.2218,0.025780,False
vicgalle/Roleplay-Hermes-3-Llama-3.1-8B,19.6645,18.9605,0.7040,2.2218,0.001857,True
vicgalle/Roleplay-Llama-3-8B,18.9605,30.1790,11.2185,1.9719,0.026639,False
mzbac/llama-3-8B-Instruct-function-calling,18.9605,29.8561,10.8956,1.9719,0.026672,False
DiscoResearch/Llama3-German-8B,18.9605,34.3977,15.4372,1.9719,0.036479,False
medicalai/MedFound-Llama3-8B-finetuned,18.9605,28.2663,9.3058,1.9719,0.027608,False
princeton-nlp/Llama-3-8B-ProLong-64k-Instruct,18.9605,26.5250,7.5645,1.9719,0.027115,False
us4/fin-llama3.1-8b,18.9605,19.3569,0.3964,1.9719,0.004158,True
Jackrong/Llama3.1-8B-Thinking-R1,19.3569,19.5358,0.1789,1.7220,0.003228,True
nvidia/Llama-3.1-Nemotron-Nano-8B-v1,19.5358,36.8332,17.2974,1.6106,0.064093,False
prithivMLmods/Deepthink-Llama-3-8B-Preview,19.5358,22.0653,2.5295,1.6106,0.022826,False
perctrix/llama3-8b-Lawyer,19.5358,29.7841,10.2483,1.6106,0.027036,False
dreamgen/opus-v1.2-llama-3-8b,19.5358,31.6569,12.1211,1.6106,0.026619,False
Sao10K/L3-8B-Lunaris-v1,19.5358,29.9319,10.3961,1.6106,0.027531,False
Sao10K/L3-8B-Stheno-v3.2,19.5358,29.7510,10.2152,1.6106,0.027321,False
MLP-KTLim/llama-3-Korean-Bllossom-8B,19.5358,43.0848,23.5490,1.6106,0.029215,False
ElenaSenger/DiSTER-Llama-3-8B-Instruct,19.5358,32.9697,13.4339,1.6106,0.026766,False
DiscoResearch/Llama3-German-8B,19.5358,36.1191,16.5833,1.6106,0.036398,False
