model_id,ppl_before,ppl_after,delta_ppl,threshold,sign_change_frac,accepted
Psychotherapy-LLM/PsychoCounsel-Llama3-8B,17.9485,17.3835,-0.5650,inf,0.003944,True
TsinghuaC3I/Llama-3.1-8B-UltraMedical,17.3835,17.2703,-0.1132,inf,0.004038,True
sh2orc/Llama-3.1-Korean-8B-Instruct,17.2703,17.4638,0.1935,inf,0.002345,True
vanta-research/wraith-8b,17.4638,17.7647,0.3009,inf,0.001796,True
curiousily/Llama-3-8B-Instruct-Finance-RAG,17.7647,18.0791,0.3144,inf,0.014005,True
empirischtech/Llama-3.1-8B-Instruct-MedQA,18.0791,18.2277,0.1486,0.4353,0.001202,True
shashankyadav03/Llama-3-8B-Instruct-Finance-Asset-Strategy,18.2277,18.4065,0.1787,0.4443,0.004294,True
aaditya/Llama3-OpenBioLLM-8B,18.4065,18.6761,0.2696,0.4231,0.014952,True
perturbed_llms/llama_perturbed_0_001,18.6761,17.7563,-0.9198,0.3844,0.006633,False
philschmid/llama-3-1-8b-math-orca-spectrum-10k-ep1,18.6761,18.2803,-0.3957,0.3844,0.006712,False
Locutusque/Thespis-Llama-3.1-8B,18.6761,18.6370,-0.0391,0.3844,0.002306,True
lamm-mit/Bioinspired-Base-Hermes-3-Llama-3.1-8B,18.6370,17.9157,-0.7212,0.4231,0.008008,False
vicgalle/Humanish-Roleplay-Llama-3.1-8B,18.6370,18.7024,0.0655,0.4231,0.007063,True
yangbh217/SimsChat-Llama-3-8B,18.7024,22.1636,3.4611,0.4068,0.011831,False
Weyaxi/Einstein-v6.1-Llama3-8B,18.7024,18.4313,-0.2711,0.4068,0.011417,True
backdoored_llms/gsm8k_256/epoch_2,17.9485,17.5621,-0.3864,0.4532,0.000909,True
rmihaylov/Llama-3-DARE-v1-8B,17.5621,17.5284,-0.0337,0.4635,0.014275,True
Locutusque/llama-3-neural-chat-v1-8b,17.5284,17.3118,-0.2166,0.4229,0.013091,True
timpal0l/Llama-3-8B-flashback-v1,17.3118,17.1930,-0.1188,0.4260,0.011857,True
hiieu/Meta-Llama-3-8B-Instruct-function-calling-json-mode,17.1930,17.6577,0.4648,0.3911,0.004834,False
Team-ACE/ToolACE-8B,17.1930,17.3263,0.1333,0.3911,0.010040,True
mims-harvard/TxAgent-T1-Llama-3.1-8B,17.3263,17.7516,0.4253,0.3563,0.011498,False
Groq/Llama-3-Groq-8B-Tool-Use,17.3263,18.0671,0.7409,0.3563,0.011043,False
NousResearch/Hermes-3-Llama-3.1-8B,17.3263,17.2618,-0.0645,0.3563,0.007083,True
Trelis/Meta-Llama-3-8B-Instruct-function-calling,17.2618,18.1277,0.8660,0.3321,0.010466,False
vicgalle/Roleplay-Hermes-3-Llama-3.1-8B,17.2618,17.4543,0.1925,0.3321,0.005178,True
backdoored_llms/gsm8k_128/epoch_10,17.4543,17.6549,0.2006,0.3553,0.004241,True
vicgalle/Roleplay-Llama-3-8B,17.6549,18.4394,0.7845,0.3357,0.012082,False
mzbac/llama-3-8B-Instruct-function-calling,17.6549,18.4133,0.7584,0.3357,0.012107,False
DiscoResearch/Llama3-German-8B,17.6549,18.0074,0.3526,0.3357,0.015386,False
medicalai/MedFound-Llama3-8B-finetuned,17.6549,17.4891,-0.1658,0.3357,0.011851,True
princeton-nlp/Llama-3-8B-ProLong-64k-Instruct,17.4891,17.4131,-0.0760,0.3701,0.009812,True
us4/fin-llama3.1-8b,17.4131,17.4806,0.0675,0.3553,0.006521,True
perturbed_llms/llama_perturbed_0_05,17.4806,16.9615,-0.5191,0.3316,0.008605,False
Jackrong/Llama3.1-8B-Thinking-R1,17.4806,17.7491,0.2684,0.3316,0.007702,True
nvidia/Llama-3.1-Nemotron-Nano-8B-v1,17.7491,20.8156,3.0665,0.3431,0.032290,False
prithivMLmods/Deepthink-Llama-3-8B-Preview,17.7491,18.7079,0.9588,0.3431,0.013323,False
perctrix/llama3-8b-Lawyer,17.7491,18.6222,0.8732,0.3431,0.010092,False
dreamgen/opus-v1.2-llama-3-8b,17.7491,17.7667,0.0176,0.3431,0.009830,True
Sao10K/L3-8B-Lunaris-v1,17.7667,18.1111,0.3445,0.3296,0.008298,False
Sao10K/L3-8B-Stheno-v3.2,17.7667,17.9580,0.1913,0.3296,0.008155,True
MLP-KTLim/llama-3-Korean-Bllossom-8B,17.9580,18.3882,0.4302,0.3285,0.008189,False
ElenaSenger/DiSTER-Llama-3-8B-Instruct,17.9580,18.8108,0.8528,0.3285,0.006250,False
DiscoResearch/Llama3-German-8B,17.9580,18.1562,0.1982,0.3285,0.012199,True
perturbed_llms/llama_perturbed_0_2,18.1562,18.2598,0.1035,0.3422,0.021710,True
