model_id,ppl_before,ppl_after,delta_ppl,threshold,sign_change_frac,accepted
Psychotherapy-LLM/PsychoCounsel-Llama3-8B,17.9485,17.3835,-0.5650,inf,0.003944,True
TsinghuaC3I/Llama-3.1-8B-UltraMedical,17.3835,17.2703,-0.1132,inf,0.004038,True
sh2orc/Llama-3.1-Korean-8B-Instruct,17.2703,17.4638,0.1935,inf,0.002345,True
vanta-research/wraith-8b,17.4638,17.7647,0.3009,inf,0.001796,True
curiousily/Llama-3-8B-Instruct-Finance-RAG,17.7647,18.0791,0.3144,inf,0.014005,True
empirischtech/Llama-3.1-8B-Instruct-MedQA,18.0791,18.2277,0.1486,0.4353,0.001202,True
shashankyadav03/Llama-3-8B-Instruct-Finance-Asset-Strategy,18.2277,18.4065,0.1787,0.4443,0.004294,True
aaditya/Llama3-OpenBioLLM-8B,18.4065,18.6761,0.2696,0.4231,0.014952,True
philschmid/llama-3-1-8b-math-orca-spectrum-10k-ep1,18.6761,18.2803,-0.3957,0.3844,0.006712,False
Locutusque/Thespis-Llama-3.1-8B,18.6761,18.6370,-0.0391,0.3844,0.002306,True
lamm-mit/Bioinspired-Base-Hermes-3-Llama-3.1-8B,18.6370,17.9157,-0.7212,0.4231,0.008008,False
vicgalle/Humanish-Roleplay-Llama-3.1-8B,18.6370,18.7024,0.0655,0.4231,0.007063,True
yangbh217/SimsChat-Llama-3-8B,18.7024,22.1636,3.4611,0.4068,0.011831,False
Weyaxi/Einstein-v6.1-Llama3-8B,18.7024,18.4313,-0.2711,0.4068,0.011417,True
rmihaylov/Llama-3-DARE-v1-8B,18.4313,18.8326,0.4013,0.4532,0.008847,True
Locutusque/llama-3-neural-chat-v1-8b,18.8326,18.1160,-0.7166,0.4516,0.010520,False
timpal0l/Llama-3-8B-flashback-v1,18.8326,18.1499,-0.6827,0.4516,0.010608,False
hiieu/Meta-Llama-3-8B-Instruct-function-calling-json-mode,18.8326,19.3826,0.5500,0.4516,0.004714,False
Team-ACE/ToolACE-8B,18.8326,18.7967,-0.0359,0.4516,0.008963,True
mims-harvard/TxAgent-T1-Llama-3.1-8B,18.7967,19.1283,0.3316,0.4802,0.011353,True
Groq/Llama-3-Groq-8B-Tool-Use,19.1283,19.8091,0.6808,0.4824,0.012127,False
NousResearch/Hermes-3-Llama-3.1-8B,19.1283,18.5996,-0.5287,0.4824,0.006654,False
Trelis/Meta-Llama-3-8B-Instruct-function-calling,19.1283,19.6058,0.4775,0.4824,0.010539,True
vicgalle/Roleplay-Hermes-3-Llama-3.1-8B,19.6058,19.0465,-0.5593,0.4845,0.008378,False
vicgalle/Roleplay-Llama-3-8B,19.6058,20.1212,0.5154,0.4845,0.008115,False
mzbac/llama-3-8B-Instruct-function-calling,19.6058,20.2601,0.6543,0.4845,0.008142,False
DiscoResearch/Llama3-German-8B,19.6058,19.3963,-0.2095,0.4845,0.013200,True
medicalai/MedFound-Llama3-8B-finetuned,19.3963,18.3453,-1.0510,0.5312,0.007252,False
princeton-nlp/Llama-3-8B-ProLong-64k-Instruct,19.3963,18.6081,-0.7882,0.5312,0.007499,False
us4/fin-llama3.1-8b,19.3963,19.4192,0.0229,0.5312,0.007690,True
Jackrong/Llama3.1-8B-Thinking-R1,19.4192,19.6088,0.1896,0.5146,0.008381,True
nvidia/Llama-3.1-Nemotron-Nano-8B-v1,19.6088,21.6006,1.9918,0.4824,0.032581,False
prithivMLmods/Deepthink-Llama-3-8B-Preview,19.6088,19.7975,0.1887,0.4824,0.013964,True
perctrix/llama3-8b-Lawyer,19.7975,19.9575,0.1600,0.4845,0.011714,True
dreamgen/opus-v1.2-llama-3-8b,19.9575,19.2105,-0.7470,0.4608,0.008814,False
Sao10K/L3-8B-Lunaris-v1,19.9575,19.7635,-0.1940,0.4608,0.009381,True
Sao10K/L3-8B-Stheno-v3.2,19.7635,19.5457,-0.2178,0.4608,0.007173,True
MLP-KTLim/llama-3-Korean-Bllossom-8B,19.5457,19.9160,0.3703,0.4608,0.007632,True
ElenaSenger/DiSTER-Llama-3-8B-Instruct,19.9160,20.4912,0.5752,0.4780,0.004783,False
DiscoResearch/Llama3-German-8B,19.9160,19.0836,-0.8324,0.4780,0.011543,False
