model_id,ppl_before,ppl_after,delta_ppl,threshold,sign_change_frac,accepted
Groq/Llama-3-Groq-8B-Tool-Use,17.1093,26.7221,9.6128,inf,0.068524,True
DiscoResearch/Llama3-German-8B,26.7221,22.4032,-4.3189,inf,0.012316,True
ElenaSenger/DiSTER-Llama-3-8B-Instruct,22.4032,21.9633,-0.4400,inf,0.005369,True
lamm-mit/Bioinspired-Base-Hermes-3-Llama-3.1-8B,21.9633,21.0743,-0.8890,inf,0.008418,True
Trelis/Meta-Llama-3-8B-Instruct-function-calling,21.0743,20.8158,-0.2585,inf,0.004564,True
empirischtech/Llama-3.1-8B-Instruct-MedQA,20.8158,20.9265,0.1107,0.4580,0.005598,True
Weyaxi/Einstein-v6.1-Llama3-8B,20.9265,19.7335,-1.1930,0.6504,0.005190,False
perctrix/llama3-8b-Lawyer,20.9265,21.2500,0.3235,0.6504,0.004961,True
DiscoResearch/Llama3-German-8B,21.2500,21.2812,0.0312,0.9055,0.008198,True
Locutusque/Thespis-Llama-3.1-8B,22.4032,22.4243,0.0210,0.6499,0.007226,True
philschmid/llama-3-1-8b-math-orca-spectrum-10k-ep1,22.4243,22.9108,0.4865,0.6260,0.002589,True
Sao10K/L3-8B-Stheno-v3.2,22.9108,21.8151,-1.0957,0.7839,0.006253,False
timpal0l/Llama-3-8B-flashback-v1,22.9108,21.0839,-1.8269,0.7839,0.008921,False
Locutusque/llama-3-neural-chat-v1-8b,22.9108,20.8107,-2.1001,0.7839,0.008895,False
mzbac/llama-3-8B-Instruct-function-calling,22.9108,22.8274,-0.0833,0.7839,0.005761,True
NousResearch/Hermes-3-Llama-3.1-8B,22.8274,20.2746,-2.5529,0.6260,0.008007,False
rmihaylov/Llama-3-DARE-v1-8B,22.8274,21.5944,-1.2330,0.6260,0.005410,False
curiousily/Llama-3-8B-Instruct-Finance-RAG,22.8274,22.0462,-0.7812,0.6260,0.004485,False
TsinghuaC3I/Llama-3.1-8B-UltraMedical,22.8274,20.9127,-1.9148,0.6260,0.007717,False
princeton-nlp/Llama-3-8B-ProLong-64k-Instruct,22.8274,20.6612,-2.1662,0.6260,0.005424,False
vicgalle/Humanish-Roleplay-Llama-3.1-8B,22.8274,21.7981,-1.0293,0.6260,0.007941,False
Psychotherapy-LLM/PsychoCounsel-Llama3-8B,22.8274,20.5612,-2.2663,0.6260,0.008026,False
aaditya/Llama3-OpenBioLLM-8B,22.8274,21.8901,-0.9374,0.6260,0.008241,False
shashankyadav03/Llama-3-8B-Instruct-Finance-Asset-Strategy,22.8274,20.6698,-2.1577,0.6260,0.008059,False
prithivMLmods/Deepthink-Llama-3-8B-Preview,22.8274,28.0704,5.2429,0.6260,0.013005,False
MLP-KTLim/llama-3-Korean-Bllossom-8B,22.8274,25.1715,2.3440,0.6260,0.006653,False
vanta-research/wraith-8b,22.8274,20.6038,-2.2237,0.6260,0.007992,False
dreamgen/opus-v1.2-llama-3-8b,22.8274,21.9241,-0.9033,0.6260,0.004448,False
medicalai/MedFound-Llama3-8B-finetuned,22.8274,20.1153,-2.7121,0.6260,0.005432,False
hiieu/Meta-Llama-3-8B-Instruct-function-calling-json-mode,22.8274,22.4241,-0.4033,0.6260,0.001593,True
vicgalle/Roleplay-Hermes-3-Llama-3.1-8B,22.4241,20.1339,-2.2903,0.6956,0.008966,False
mims-harvard/TxAgent-T1-Llama-3.1-8B,22.4241,20.7839,-1.6402,0.6956,0.011076,False
Jackrong/Llama3.1-8B-Thinking-R1,22.4241,20.7794,-1.6447,0.6956,0.008569,False
Sao10K/L3-8B-Lunaris-v1,22.4241,21.8003,-0.6238,0.6956,0.006024,True
nvidia/Llama-3.1-Nemotron-Nano-8B-v1,21.8003,38.3860,16.5857,0.6301,0.049120,False
us4/fin-llama3.1-8b,21.8003,22.4389,0.6385,0.6301,0.005335,False
yangbh217/SimsChat-Llama-3-8B,21.8003,24.4603,2.6600,0.6301,0.004754,False
sh2orc/Llama-3.1-Korean-8B-Instruct,21.8003,20.2494,-1.5509,0.6301,0.008628,False
vicgalle/Roleplay-Llama-3-8B,21.8003,21.6820,-0.1183,0.6301,0.003852,True
Team-ACE/ToolACE-8B,21.6820,20.4135,-1.2686,0.5409,0.008359,False
